title,keywords,session_year,supervisor_name,category
Infant and Young Child Feeding Practices Among Urban Mothers in Osogbo Local Government Area,"infant feeding, young child, practices, urban mothers, Osogbo",2021,Prof. Eze,Maternal & Child Health
An Exploratory Analysis of Household Air Quality Monitoring and Respiratory Outcomes in Low-Income Areas of Osogbo Nigeria Among Residents of Boripe Local Government,"household air quality, respiratory outcomes, low-income, monitoring, Osogbo",2022,Dr. Salawu,Environmental Health
An Exploratory Analysis of Factor Analysis of Health System Barriers to Maternal Healthcare Utilization in Rural Osun State Among Residents of Ife South Local Government,"factor analysis, health system barriers, maternal healthcare, rural, Osun",2021,Dr. Agboola,Biostatistics
A Descriptive Analysis of Spatial Analysis of Malaria Incidence Using Geographic Information Systems in Osun State Among Residents of Iwo Local Government,"spatial analysis, GIS, malaria incidence, Osun State, geographic",2015,Dr. Igwe,Biostatistics
Longitudinal Investigation of Spatial Analysis of Malaria Incidence Using Geographic Information Systems in Osun State Among Residents of Ilesha Local Government,"spatial analysis, GIS, malaria incidence, Osun State, geographic",2022,Prof. Adebayo,Biostatistics
Community-Based Study on Anemia in Pregnancy Prevalence and Its Effect on Birth Outcomes in Southwest Nigerian Hospitals Among Residents of Osogbo Local Government,"anaemia in pregnancy, birth outcomes, Southwest Nigeria, hospitals, prevalence",2020,Dr. Akinwande,Maternal & Child Health
A Cross-Sectional Study of Sensitivity and Specificity Analysis of Diagnostic Tests for Malaria in UNIOSUN Teaching Hospital Among Residents of Osogbo Local Government,"sensitivity, specificity, diagnostic tests, malaria, UNIOSUN",2018,Dr. Folarin,Biostatistics
A Descriptive Analysis of Assessment of Toilet Facilities Adequacy and Sanitation-Related Diseases in Rural Osun Communities Among Residents of Ilesa Local Government,"toilet facilities, sanitation, rural, diseases, assessment",2018,Prof. Okafor,Environmental Health
Community-Based Study on Tobacco Control Policy Awareness and Compliance Among Residents of Osogbo Local Government,"tobacco control, policy compliance, market vendors, Osogbo, awareness",2017,Dr. Akinwande,Health Policy
An Exploratory Analysis of Factors Associated with Recurrent Malaria Episodes Among Residents of Osogbo Local Government,"recurrent malaria, under-five, risk factors, Osun State, episodes",2017,Prof. Adesanya,Infectious Diseases
A Descriptive Analysis of Assessment of Childhood Immunization Against Vaccine-Preventable Diseases in UNIOSUN Catchment Areas Among Residents of Osogbo Local Government,"childhood immunization, vaccine-preventable diseases, UNIOSUN, catchment area",2015,Prof. Emeka,Infectious Diseases
Retrospective Review of Epidemiological Assessment of Childhood Pneumonia Cases in UNIOSUN Teaching Hospital Outpatients Among Residents of Iwo Local Government,"pneumonia, childhood, epidemiology, teaching hospital, outpatients",2015,Dr. Oluwaseun,Epidemiology
Community-Based Study on Regulatory Framework for Traditional Medicine Practice in Osun State Health Policy Context Among Residents of Boripe Local Government,"traditional medicine, regulation, policy, Osun State, practice",2021,Prof. Adebayo,Health Policy
A Descriptive Analysis of Intestinal Parasitic Infections Among Residents of Ife East Local Government,"intestinal parasites, schoolchildren, environmental risk, infections, Osun",2018,Prof. Adeoti,Infectious Diseases
Longitudinal Investigation of Burden of Non-Communicable Diseases Among Residents of Ife South Local Government,"non-communicable diseases, burden, middle-aged, Southwest Nigeria",2021,Prof. Afolabi,Epidemiology
Hospital-Based Assessment of Disease Burden of Sickle Cell Disorder Among Residents of Osogbo Local Government,"sickle cell, disease burden, university students, UNIOSUN",2017,Prof. Adewale,Epidemiology
Hospital-Based Assessment of Burden and Distribution of Schistosomiasis Among Residents of Iwo Local Government,"schistosomiasis, children, distribution, burden, rural",2016,Prof. Adewale,Epidemiology
Retrospective Review of Malaria Parasite Density and Treatment Outcomes Among Residents of Iwo Local Government,"malaria, parasite density, treatment outcomes, children, UNIOSUN",2016,Prof. Nwosu,Infectious Diseases
Hospital-Based Assessment of Structural Equation Modelling of Social Determinants Affecting Health Outcomes in Osun State Nigeria Among Residents of Ife South Local Government,"structural equation modelling, social determinants, health outcomes, Osun, Nigeria",2018,Prof. Nwosu,Biostatistics
Hospital-Based Assessment of Pattern of Morbidity and Mortality from Communicable Diseases in Osogbo Metropolis Among Residents of Ede Local Government,"morbidity, mortality, communicable diseases, Osogbo, pattern",2020,Prof. Adebayo,Epidemiology
An Exploratory Analysis of Prevalence of Postpartum Depression and Associated Risk Factors Among Residents of Ejigbo Local Government,"postpartum depression, prevalence, risk factors, mothers, Osogbo",2021,Prof. Afolabi,Maternal & Child Health
Evaluation of National Health Insurance Scheme Implementation in Osun State Public Hospitals,"health insurance, NHIS, implementation, Osun State, public hospitals",2021,Prof. Okafor,Health Policy
A Descriptive Analysis of Application of Poisson Regression in Modelling Infectious Disease Count Data in Nigeria Among Residents of Ife East Local Government,"Poisson regression, infectious disease, count data, modelling, Nigeria",2022,Prof. Okafor,Biostatistics
Retrospective Review of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Iwo Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2017,Dr. Igwe,Biostatistics
A Descriptive Analysis of Time Series Analysis of Seasonal Malaria Trends in Osun State Using ARIMA Models Among Residents of Ede Local Government,"time series, ARIMA, seasonal malaria, trends, Osun State",2020,Prof. Ogunleye,Biostatistics
A Cross-Sectional Study of Epidemiology of Road Traffic Injuries and Fatalities in Urban Communities of Southwest Nigeria Among Residents of Ede Local Government,"road traffic injuries, fatalities, urban, epidemiology, Southwest",2019,Prof. Adeleke,Epidemiology
An Exploratory Analysis of Stakeholder Perceptions of Universal Health Coverage Implementation in Osun State Nigeria Among Residents of Ilesha Local Government,"universal health coverage, stakeholders, perceptions, implementation, Nigeria",2015,Dr. Akinwande,Health Policy
An Exploratory Analysis of Time Series Analysis of Seasonal Malaria Trends in Osun State Using ARIMA Models Among Residents of Boripe Local Government,"time series, ARIMA, seasonal malaria, trends, Osun State",2017,Prof. Obiora,Biostatistics
Hospital-Based Assessment of Application of Logistic Regression in Predicting Malaria Risk Factors Among Residents of Ilesha Local Government,"logistic regression, malaria risk, prediction, children, biostatistics",2015,Dr. Folarin,Biostatistics
Community-Based Study on Assessment of Childhood Immunization Against Vaccine-Preventable Diseases in UNIOSUN Catchment Areas Among Residents of Iwo Local Government,"childhood immunization, vaccine-preventable diseases, UNIOSUN, catchment area",2022,Dr. Chukwu,Infectious Diseases
Comparative Study of Assessment of Health Sector Decentralization Policy Outcomes in Southwest Nigerian Local Governments Among Residents of Osogbo Local Government,"decentralization, health sector, local government, policy outcomes, Nigeria",2020,Prof. Bankole,Health Policy
A Cross-Sectional Study of Sanitation Conditions and Hygiene Practices in Public Primary Schools of Osun State Nigeria Among Residents of Osogbo Local Government,"sanitation, hygiene, primary schools, public schools, Osun State",2020,Prof. Emeka,Environmental Health
Community-Based Study on Application of Logistic Regression in Predicting Malaria Risk Factors Among Residents of Iwo Local Government,"logistic regression, malaria risk, prediction, children, biostatistics",2016,Dr. Nnamdi,Biostatistics
Prevalence of Postpartum Depression and Associated Risk Factors Among Mothers in Osogbo,"postpartum depression, prevalence, risk factors, mothers, Osogbo",2017,Dr. Agboola,Maternal & Child Health
Longitudinal Investigation of Occupational Hazard Exposure and Health Outcomes Among Residents of Ife East Local Government,"occupational hazard, automobile mechanics, health outcomes, exposure, Osogbo",2017,Dr. Salawu,Environmental Health
Survival Analysis of Time-to-Death Among HIV Patients on Antiretroviral Therapy in Osun State,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2015,Prof. Okafor,Biostatistics
Hospital-Based Assessment of Assessment of Health Sector Decentralization Policy Outcomes in Southwest Nigerian Local Governments Among Residents of Ilesa Local Government,"decentralization, health sector, local government, policy outcomes, Nigeria",2020,Prof. Adesanya,Health Policy
Lead Exposure Assessment and Neurological Effects Among Children Near Battery Recycling Sites,"lead exposure, neurological effects, children, battery recycling, assessment",2022,Prof. Onyeka,Environmental Health
A Descriptive Analysis of Spatial Analysis of Malaria Incidence Using Geographic Information Systems in Osun State Among Residents of Ife East Local Government,"spatial analysis, GIS, malaria incidence, Osun State, geographic",2018,Prof. Okafor,Biostatistics
A Descriptive Analysis of Anemia in Pregnancy Prevalence and Its Effect on Birth Outcomes in Southwest Nigerian Hospitals Among Residents of Boripe Local Government,"anaemia in pregnancy, birth outcomes, Southwest Nigeria, hospitals, prevalence",2019,Prof. Afolabi,Maternal & Child Health
An Exploratory Analysis of Burden and Distribution of Schistosomiasis Among Residents of Ife South Local Government,"schistosomiasis, children, distribution, burden, rural",2022,Prof. Fasola,Epidemiology
A Cross-Sectional Study of Heavy Metal Contamination of Borehole Water Sources in Industrial Areas of Osun State Nigeria Among Residents of Ife East Local Government,"heavy metals, borehole, contamination, industrial, water safety",2016,Prof. Nwosu,Environmental Health
Comparative Study of Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020 Among Residents of Ilesha Local Government,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2016,Prof. Nwosu,Maternal & Child Health
Retrospective Review of Factor Analysis of Health System Barriers to Maternal Healthcare Utilization in Rural Osun State Among Residents of Boripe Local Government,"factor analysis, health system barriers, maternal healthcare, rural, Osun",2019,Prof. Emeka,Biostatistics
A Descriptive Analysis of Occupational Hazard Exposure and Health Outcomes Among Residents of Ede Local Government,"occupational hazard, automobile mechanics, health outcomes, exposure, Osogbo",2015,Dr. Adeyemi,Environmental Health
A Cross-Sectional Study of Assessment of Health Sector Decentralization Policy Outcomes in Southwest Nigerian Local Governments Among Residents of Ife North Local Government,"decentralization, health sector, local government, policy outcomes, Nigeria",2019,Prof. Adewale,Health Policy
A Cross-Sectional Study of Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria Among Residents of Boripe Local Government,"malnutrition, under-five, food security, household, Nigeria",2019,Dr. Nwachukwu,Maternal & Child Health
Comparative Study of Determinants of Skilled Birth Attendance Utilization Among Residents of Ilesa Local Government,"skilled birth attendance, determinants, parturient women, Osun State",2019,Prof. Adesanya,Maternal & Child Health
Comparative Study of HIV Seroprevalence and Risk Behavior Among Residents of Ife North Local Government,"HIV, seroprevalence, risk behavior, female sex workers, Osogbo",2018,Dr. Babatunde,Infectious Diseases
Hospital-Based Assessment of Pattern of Morbidity and Mortality from Communicable Diseases in Osogbo Metropolis Among Residents of Iwo Local Government,"morbidity, mortality, communicable diseases, Osogbo, pattern",2015,Dr. Nnamdi,Epidemiology
Hospital-Based Assessment of Gonorrhoea and Syphilis Co-Infection Prevalence Among Residents of Ife East Local Government,"gonorrhoea, syphilis, co-infection, antenatal clinic, Osogbo",2017,Prof. Eze,Infectious Diseases
Community-Based Study on Effectiveness of the Basic Healthcare Provision Fund in Strengthening Primary Health Centers Among Residents of Ilesha Local Government,"basic healthcare fund, PHC, effectiveness, primary health, strengthening",2015,Prof. Onyeka,Health Policy
Longitudinal Investigation of HIV Seroprevalence and Risk Behavior Among Residents of Ede Local Government,"HIV, seroprevalence, risk behavior, female sex workers, Osogbo",2020,Dr. Salawu,Infectious Diseases
A Descriptive Analysis of Assessment of Infection Prevention and Control Practices in UNIOSUN Teaching Hospital Wards Among Residents of Ilesha Local Government,"infection prevention, control practices, UNIOSUN, teaching hospital, wards",2020,Dr. Okonkwo,Infectious Diseases
A Cross-Sectional Study of COVID-19 Infection Patterns and Mortality Outcomes in Osun State Isolation Centers 2020-2021 Among Residents of Osogbo Local Government,"COVID-19, infection patterns, mortality, isolation centers, Osun State",2015,Dr. Okonkwo,Infectious Diseases
Longitudinal Investigation of Assessment of Infection Prevention and Control Practices in UNIOSUN Teaching Hospital Wards Among Residents of Ife East Local Government,"infection prevention, control practices, UNIOSUN, teaching hospital, wards",2016,Dr. Chukwu,Infectious Diseases
An Exploratory Analysis of Epidemiological Investigation of Malaria Burden Among Residents of Iwo Local Government,"malaria, children, epidemiology, rural, Nigeria",2017,Prof. Obiora,Epidemiology
Comparative Study of Effect of Hospital Autonomy Policy on Service Delivery Quality in Osun State General Hospitals Among Residents of Ejigbo Local Government,"hospital autonomy, service delivery, quality, policy, Osun State",2022,Dr. Akinwande,Health Policy
Retrospective Review of Intestinal Parasitic Infections Among Residents of Ilesa Local Government,"intestinal parasites, schoolchildren, environmental risk, infections, Osun",2021,Prof. Onyeka,Infectious Diseases
A Cross-Sectional Study of Mercury Exposure and Health Risk Assessment Among Residents of Ilesa Local Government,"mercury exposure, gold mining, health risk, artisanal, Osun State",2017,Prof. Adebayo,Environmental Health
A Cross-Sectional Study of Epidemiological Study of Eye Diseases and Visual Impairment Among Residents of Ife East Local Government,"eye diseases, visual impairment, adults, rural, Osun",2018,Dr. Nnamdi,Epidemiology
A Cross-Sectional Study of National Health Act Implementation Status and Implications for Healthcare Delivery in Nigeria Among Residents of Ife South Local Government,"National Health Act, implementation, healthcare delivery, Nigeria, implications",2015,Dr. Chukwu,Health Policy
Hospital-Based Assessment of Survival Analysis of Time-to-Death Among Residents of Ilesha Local Government,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2019,Prof. Eze,Biostatistics
A Descriptive Analysis of Regulatory Framework for Traditional Medicine Practice in Osun State Health Policy Context Among Residents of Ejigbo Local Government,"traditional medicine, regulation, policy, Osun State, practice",2020,Dr. Agboola,Health Policy
Community-Based Study on Prevalence of Postpartum Depression and Associated Risk Factors Among Residents of Ife North Local Government,"postpartum depression, prevalence, risk factors, mothers, Osogbo",2016,Prof. Adesanya,Maternal & Child Health
Longitudinal Investigation of Disease Burden of Sickle Cell Disorder Among Residents of Ife South Local Government,"sickle cell, disease burden, university students, UNIOSUN",2022,Dr. Chukwu,Epidemiology
Comparative Study of Policy Analysis of Community Health Extension Worker Deployment in Rural Osun State Communities Among Residents of Osogbo Local Government,"CHEW, deployment, health policy, rural, community health",2019,Prof. Eze,Health Policy
Community-Based Study on Application of Logistic Regression in Predicting Malaria Risk Factors Among Residents of Boripe Local Government,"logistic regression, malaria risk, prediction, children, biostatistics",2017,Prof. Adesanya,Biostatistics
Retrospective Review of Sensitivity and Specificity Analysis of Diagnostic Tests for Malaria in UNIOSUN Teaching Hospital Among Residents of Ife East Local Government,"sensitivity, specificity, diagnostic tests, malaria, UNIOSUN",2021,Prof. Eze,Biostatistics
A Descriptive Analysis of Prevalence of Birth Asphyxia and Contributing Factors in Neonatal Units of Osun State Hospitals Among Residents of Boripe Local Government,"birth asphyxia, prevalence, neonatal, contributing factors, Osun State",2021,Prof. Onyeka,Maternal & Child Health
Longitudinal Investigation of Determinants of Skilled Birth Attendance Utilization Among Residents of Boripe Local Government,"skilled birth attendance, determinants, parturient women, Osun State",2021,Prof. Obiora,Maternal & Child Health
Hospital-Based Assessment of Effect of Male Partner Involvement on Maternal Health Service Utilization in Osun State Communities Among Residents of Ejigbo Local Government,"male involvement, maternal health, service utilization, Osun State, partner",2019,Prof. Adeoti,Maternal & Child Health
A Cross-Sectional Study of Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria Among Residents of Iwo Local Government,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2018,Dr. Akinwande,Infectious Diseases
An Exploratory Analysis of Kaplan-Meier Analysis of Survival Among Residents of Ejigbo Local Government,"Kaplan-Meier, survival analysis, tuberculosis, DOTS, Osun State",2016,Dr. Abiodun,Biostatistics
Community-Based Study on Application of Poisson Regression in Modelling Infectious Disease Count Data in Nigeria Among Residents of Ife North Local Government,"Poisson regression, infectious disease, count data, modelling, Nigeria",2019,Dr. Nnamdi,Biostatistics
Longitudinal Investigation of Child Immunization Coverage and Barriers to Vaccine Uptake in Osun State Local Government Areas Among Residents of Ife South Local Government,"immunization, coverage, barriers, vaccine uptake, Osun State",2018,Prof. Eze,Maternal & Child Health
Retrospective Review of Nutritional Status and Cognitive Development Among Residents of Osogbo Local Government,"nutritional status, cognitive development, primary school, children, Osun",2021,Dr. Babatunde,Maternal & Child Health
A Descriptive Analysis of Gestational Diabetes Prevalence and Management Practices Among Residents of Iwo Local Government,"gestational diabetes, prevalence, management, pregnant women, Osogbo",2022,Prof. Adewale,Maternal & Child Health
Community-Based Study on Antibiotic Resistance Patterns of Bacterial Isolates from Urinary Tract Infections in Osun Hospitals Among Residents of Ilesha Local Government,"antibiotic resistance, bacterial isolates, urinary tract infection, Osun, hospitals",2017,Dr. Okonkwo,Infectious Diseases
Hospital-Based Assessment of Nutritional Status and Cognitive Development Among Residents of Ilesa Local Government,"nutritional status, cognitive development, primary school, children, Osun",2022,Prof. Adewale,Maternal & Child Health
Community-Based Study on Analysis of Drug Procurement Policy and Essential Medicines Availability at Public Health Facilities Among Residents of Iwo Local Government,"drug procurement, essential medicines, policy, availability, public health",2015,Prof. Okafor,Health Policy
Comparative Study of Chemical Pesticide Use Patterns and Chronic Health Effects Among Residents of Iwo Local Government,"pesticide, chemical exposure, agricultural workers, chronic health, Osun",2015,Dr. Nnamdi,Environmental Health
Hospital-Based Assessment of Factors Influencing Insecticide-Treated Net Use Among Residents of Ilesa Local Government,"insecticide-treated net, household, malaria prevention, rural, Osun",2016,Prof. Obiora,Infectious Diseases
Multilevel Modelling of Determinants of Child Mortality in Southwest Nigerian Communities,"multilevel modelling, child mortality, determinants, Southwest Nigeria, biostatistics",2020,Dr. Oluwaseun,Biostatistics
An Exploratory Analysis of Sample Size Determination and Power Analysis in Public Health Research Studies at Nigerian Universities Among Residents of Ede Local Government,"sample size, power analysis, public health research, Nigeria, biostatistics",2019,Dr. Akinwande,Biostatistics
Retrospective Review of Political Determinants of Health Budget Allocation in Osun State Government Annual Estimates Among Residents of Osogbo Local Government,"health budget, political determinants, allocation, Osun State, government",2017,Prof. Afolabi,Health Policy
A Cross-Sectional Study of Multidrug-Resistant Tuberculosis Prevalence and Treatment Outcomes in Southwest Nigeria Hospitals Among Residents of Ejigbo Local Government,"multidrug-resistant tuberculosis, MDR-TB, prevalence, treatment, Southwest Nigeria",2020,Prof. Bankole,Infectious Diseases
Assessment of Meningitis Outbreak Response and Control Measures in Northern Osun Communities,"meningitis, outbreak, response, control, Osun",2018,Dr. Salawu,Epidemiology
Seroprevalence of Hepatitis B Virus Infection Among Blood Donors in Osun State Teaching Hospitals,"hepatitis B, seroprevalence, blood donors, teaching hospital",2016,Prof. Nwosu,Epidemiology
A Descriptive Analysis of Health Financing Strategies and Their Effect on Out-of-Pocket Expenditure in Osun State Among Residents of Ede Local Government,"health financing, out-of-pocket, expenditure, Osun State, strategy",2019,Dr. Abiodun,Health Policy
Retrospective Review of Burden of Non-Communicable Diseases Among Residents of Ife South Local Government,"non-communicable diseases, burden, middle-aged, Southwest Nigeria",2018,Prof. Ogunleye,Epidemiology
Hospital-Based Assessment of Statistical Modelling of Maternal Mortality Predictors at UNIOSUN Teaching Hospital Nigeria Among Residents of Boripe Local Government,"statistical modelling, maternal mortality, predictors, UNIOSUN, Nigeria",2016,Dr. Oluwaseun,Biostatistics
Community-Based Study on Burden of Non-Communicable Diseases Among Residents of Ilesha Local Government,"non-communicable diseases, burden, middle-aged, Southwest Nigeria",2015,Dr. Salawu,Epidemiology
Comparative Study of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ife North Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2018,Prof. Onyeka,Biostatistics
Comparative Study of Impact of Flooding Events on Waterborne Disease Incidence in Osun State Flood Corridors Among Residents of Boripe Local Government,"flooding, waterborne disease, incidence, Osun State, flood corridors",2022,Dr. Akinwande,Environmental Health
Retrospective Review of Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area Among Residents of Ejigbo Local Government,"solid waste, management, health implications, Osogbo, urban",2021,Dr. Igwe,Environmental Health
An Exploratory Analysis of Epidemiology of Road Traffic Injuries and Fatalities in Urban Communities of Southwest Nigeria Among Residents of Ejigbo Local Government,"road traffic injuries, fatalities, urban, epidemiology, Southwest",2021,Prof. Ogunleye,Epidemiology
Comparative Study of Intersectoral Collaboration for Social Determinants of Health Policy in Southwest Nigeria Among Residents of Ife South Local Government,"intersectoral collaboration, social determinants, health policy, Southwest Nigeria",2020,Dr. Folarin,Health Policy
Tobacco Control Policy Awareness and Compliance Among Market Vendors in Osogbo Metropolis,"tobacco control, policy compliance, market vendors, Osogbo, awareness",2021,Dr. Akinwande,Health Policy
Community-Based Study on Infant and Young Child Feeding Practices Among Residents of Ilesha Local Government,"infant feeding, young child, practices, urban mothers, Osogbo",2019,Dr. Chukwu,Maternal & Child Health
Community-Based Study on Epidemiology of Road Traffic Injuries and Fatalities in Urban Communities of Southwest Nigeria Among Residents of Ife East Local Government,"road traffic injuries, fatalities, urban, epidemiology, Southwest",2016,Dr. Oluwaseun,Epidemiology
An Exploratory Analysis of Seroprevalence of Hepatitis B Virus Infection Among Residents of Ife East Local Government,"hepatitis B, seroprevalence, blood donors, teaching hospital",2022,Prof. Okafor,Epidemiology
Comparative Study of Impact of Flooding Events on Waterborne Disease Incidence in Osun State Flood Corridors Among Residents of Ejigbo Local Government,"flooding, waterborne disease, incidence, Osun State, flood corridors",2021,Dr. Akindele,Environmental Health
E-Waste Disposal Practices and Toxic Exposure Among Informal Recyclers in Southwest Nigeria,"e-waste, disposal, toxic exposure, informal recyclers, Southwest Nigeria",2022,Dr. Okonkwo,Environmental Health
Longitudinal Investigation of Prevalence of Overweight and Obesity Among Residents of Ilesa Local Government,"overweight, obesity, adolescents, secondary school, Osogbo",2020,Prof. Okafor,Epidemiology
Retrospective Review of Cluster Analysis Identification of High-Risk Communities for Malaria in Osun State Using Health Data Among Residents of Ife South Local Government,"cluster analysis, high-risk communities, malaria, health data, Osun State",2018,Dr. Folarin,Biostatistics
Hospital-Based Assessment of Effect of Male Partner Involvement on Maternal Health Service Utilization in Osun State Communities Among Residents of Iwo Local Government,"male involvement, maternal health, service utilization, Osun State, partner",2016,Dr. Oluwaseun,Maternal & Child Health
Community-Based Study on Evaluation of National Health Insurance Scheme Implementation in Osun State Public Hospitals Among Residents of Ede Local Government,"health insurance, NHIS, implementation, Osun State, public hospitals",2019,Prof. Adesanya,Health Policy
Retrospective Review of Sanitation Conditions and Hygiene Practices in Public Primary Schools of Osun State Nigeria Among Residents of Ejigbo Local Government,"sanitation, hygiene, primary schools, public schools, Osun State",2022,Prof. Adeoti,Environmental Health
Retrospective Review of Burden of Non-Communicable Diseases Among Residents of Ife North Local Government,"non-communicable diseases, burden, middle-aged, Southwest Nigeria",2020,Dr. Salawu,Epidemiology
An Exploratory Analysis of Infant and Young Child Feeding Practices Among Residents of Ilesa Local Government,"infant feeding, young child, practices, urban mothers, Osogbo",2017,Dr. Salawu,Maternal & Child Health
An Exploratory Analysis of Impact of Free Maternal Health Policy on Antenatal Care Utilization in Osun State Nigeria Among Residents of Osogbo Local Government,"maternal health policy, antenatal care, utilization, free health, Osun",2018,Prof. Obiora,Health Policy
An Exploratory Analysis of Impact of Open Defecation on Child Diarrhoeal Diseases in Rural Communities of Osun State Among Residents of Ife East Local Government,"open defecation, diarrhoea, children, rural, sanitation",2016,Prof. Nwosu,Environmental Health
Retrospective Review of Community-Level HIV Stigma and Its Effect on Treatment Adherence Among Residents of Ilesha Local Government,"HIV stigma, treatment adherence, community, PLHIV, effect",2018,Dr. Agboola,Infectious Diseases
Longitudinal Investigation of Occupational Hazard Exposure and Health Outcomes Among Residents of Boripe Local Government,"occupational hazard, automobile mechanics, health outcomes, exposure, Osogbo",2017,Dr. Chukwu,Environmental Health
An Exploratory Analysis of Infant and Young Child Feeding Practices Among Residents of Ife East Local Government,"infant feeding, young child, practices, urban mothers, Osogbo",2017,Prof. Eze,Maternal & Child Health
Comparative Study of Policy Implementation Fidelity of the Integrated Disease Surveillance Response System in Nigeria Among Residents of Ilesa Local Government,"IDSR, policy implementation, disease surveillance, fidelity, Nigeria",2018,Dr. Nnamdi,Health Policy
Retrospective Review of Evaluation of National Health Insurance Scheme Implementation in Osun State Public Hospitals Among Residents of Ejigbo Local Government,"health insurance, NHIS, implementation, Osun State, public hospitals",2018,Prof. Adeleke,Health Policy
Hospital-Based Assessment of Factors Influencing Insecticide-Treated Net Use Among Residents of Boripe Local Government,"insecticide-treated net, household, malaria prevention, rural, Osun",2017,Prof. Bankole,Infectious Diseases
Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area,"solid waste, management, health implications, Osogbo, urban",2016,Prof. Nwosu,Environmental Health
Comparative Study of Prevalence of Birth Asphyxia and Contributing Factors in Neonatal Units of Osun State Hospitals Among Residents of Ede Local Government,"birth asphyxia, prevalence, neonatal, contributing factors, Osun State",2022,Prof. Emeka,Maternal & Child Health
Community-Based Assessment of Stroke Risk Factors Among Elderly Populations in Ife North,"stroke, risk factors, elderly, community, Ife North",2020,Prof. Emeka,Epidemiology
A Cross-Sectional Study of Determinants of Skilled Birth Attendance Utilization Among Residents of Ede Local Government,"skilled birth attendance, determinants, parturient women, Osun State",2019,Dr. Igwe,Maternal & Child Health
A Cross-Sectional Study of Health Financing Strategies and Their Effect on Out-of-Pocket Expenditure in Osun State Among Residents of Iwo Local Government,"health financing, out-of-pocket, expenditure, Osun State, strategy",2020,Prof. Bankole,Health Policy
HIV Seroprevalence and Risk Behavior Among Female Sex Workers in Osogbo Metropolis Nigeria,"HIV, seroprevalence, risk behavior, female sex workers, Osogbo",2019,Dr. Nnamdi,Infectious Diseases
Retrospective Review of Incidence and Distribution of Typhoid Fever Cases Reported in UNIOSUN Teaching Hospital Among Residents of Osogbo Local Government,"typhoid fever, incidence, hospital, distribution, surveillance",2021,Prof. Nwosu,Epidemiology
An Exploratory Analysis of Evaluation of Rapid Diagnostic Test Use for Malaria Case Management in Osun Primary Health Centers Among Residents of Iwo Local Government,"rapid diagnostic test, malaria, case management, primary health, Osun",2018,Dr. Okonkwo,Infectious Diseases
Comparative Study of Factors Influencing Insecticide-Treated Net Use Among Residents of Ife East Local Government,"insecticide-treated net, household, malaria prevention, rural, Osun",2022,Prof. Fasola,Infectious Diseases
An Exploratory Analysis of Pattern of Morbidity and Mortality from Communicable Diseases in Osogbo Metropolis Among Residents of Ife North Local Government,"morbidity, mortality, communicable diseases, Osogbo, pattern",2019,Prof. Adeoti,Epidemiology
Hospital-Based Assessment of Tobacco Control Policy Awareness and Compliance Among Residents of Ife South Local Government,"tobacco control, policy compliance, market vendors, Osogbo, awareness",2017,Prof. Eze,Health Policy
Retrospective Review of Dengue Fever Seroprevalence and Associated Risk Factors in Flood-Prone Areas of Osun State Among Residents of Boripe Local Government,"dengue fever, seroprevalence, flood-prone, risk factors, Osun",2015,Dr. Babatunde,Epidemiology
Longitudinal Investigation of Application of Poisson Regression in Modelling Infectious Disease Count Data in Nigeria Among Residents of Ilesa Local Government,"Poisson regression, infectious disease, count data, modelling, Nigeria",2018,Prof. Obiora,Biostatistics
A Cross-Sectional Study of Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria Among Residents of Ilesha Local Government,"malnutrition, under-five, food security, household, Nigeria",2018,Prof. Adeoti,Maternal & Child Health
A Descriptive Analysis of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ife East Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2015,Dr. Nwachukwu,Biostatistics
Hospital-Based Assessment of Assessment of Health Sector Decentralization Policy Outcomes in Southwest Nigerian Local Governments Among Residents of Ejigbo Local Government,"decentralization, health sector, local government, policy outcomes, Nigeria",2022,Prof. Adewale,Health Policy
A Descriptive Analysis of Spatial Distribution and Seasonal Variation of Cholera Outbreaks in Osun State Nigeria Among Residents of Ede Local Government,"cholera, spatial distribution, seasonal variation, outbreak, Nigeria",2015,Prof. Adeoti,Epidemiology
A Cross-Sectional Study of Prevalence and Risk Factors of Hypertension Among Residents of Ejigbo Local Government,"hypertension, prevalence, risk factors, adults, Osun State",2020,Dr. Akinwande,Epidemiology
