title,keywords,session_year,supervisor_name,category
Longitudinal Investigation of Epidemiology of Road Traffic Injuries and Fatalities in Urban Communities of Southwest Nigeria Among Residents of Ilesha Local Government,"road traffic injuries, fatalities, urban, epidemiology, Southwest",2018,Prof. Obiora,Epidemiology
A Cross-Sectional Study of Receiver Operating Characteristic Curve Analysis for Predicting Severe Malaria in Children Nigeria Among Residents of Ilesha Local Government,"ROC curve, severe malaria, prediction, children, Nigeria",2019,Prof. Fasola,Biostatistics
A Descriptive Analysis of Effect of Hospital Autonomy Policy on Service Delivery Quality in Osun State General Hospitals Among Residents of Ife East Local Government,"hospital autonomy, service delivery, quality, policy, Osun State",2018,Prof. Adewale,Health Policy
Retrospective Review of Community-Based Assessment of Stroke Risk Factors Among Residents of Ife South Local Government,"stroke, risk factors, elderly, community, Ife North",2015,Prof. Okafor,Epidemiology
Vector Breeding Site Assessment and Malaria Risk in Flood-Prone Areas of Osun State Nigeria,"vector breeding, malaria risk, flood-prone, Osun State, assessment",2015,Prof. Ogunleye,Environmental Health
Retrospective Review of Assessment of Health Sector Decentralization Policy Outcomes in Southwest Nigerian Local Governments Among Residents of Iwo Local Government,"decentralization, health sector, local government, policy outcomes, Nigeria",2020,Dr. Igwe,Health Policy
A Cross-Sectional Study of Epidemiological Profile of Diabetes Mellitus Patients Attending Primary Healthcare Centers in Osun Among Residents of Ife East Local Government,"diabetes mellitus, epidemiology, primary healthcare, Osun State",2017,Prof. Adebayo,Epidemiology
Gestational Diabetes Prevalence and Management Practices Among Pregnant Women in Osogbo Nigeria,"gestational diabetes, prevalence, management, pregnant women, Osogbo",2019,Dr. Abiodun,Maternal & Child Health
An Exploratory Analysis of Evaluation of National Health Insurance Scheme Implementation in Osun State Public Hospitals Among Residents of Osogbo Local Government,"health insurance, NHIS, implementation, Osun State, public hospitals",2021,Prof. Emeka,Health Policy
Sensitivity and Specificity Analysis of Diagnostic Tests for Malaria in UNIOSUN Teaching Hospital,"sensitivity, specificity, diagnostic tests, malaria, UNIOSUN",2019,Dr. Nwachukwu,Biostatistics
An Exploratory Analysis of Statistical Modelling of Maternal Mortality Predictors at UNIOSUN Teaching Hospital Nigeria Among Residents of Ife South Local Government,"statistical modelling, maternal mortality, predictors, UNIOSUN, Nigeria",2022,Dr. Chukwu,Biostatistics
Hospital-Based Assessment of Seroprevalence of Hepatitis B Virus Infection Among Residents of Ejigbo Local Government,"hepatitis B, seroprevalence, blood donors, teaching hospital",2019,Dr. Akindele,Epidemiology
Longitudinal Investigation of Household Air Quality Monitoring and Respiratory Outcomes in Low-Income Areas of Osogbo Nigeria Among Residents of Ilesha Local Government,"household air quality, respiratory outcomes, low-income, monitoring, Osogbo",2016,Prof. Obiora,Environmental Health
Principal Component Analysis of Socioeconomic Determinants of Health Outcomes in Southwest Nigeria,"principal component analysis, socioeconomic determinants, health outcomes, Nigeria",2021,Prof. Obiora,Biostatistics
Intestinal Parasitic Infections Among Schoolchildren and Associated Environmental Risk Factors in Osun,"intestinal parasites, schoolchildren, environmental risk, infections, Osun",2017,Dr. Oluwaseun,Infectious Diseases
An Exploratory Analysis of Prevalence of Anaemia and Associated Factors Among Residents of Ife East Local Government,"anaemia, pregnant women, prevalence, Ijesa Zone, Nigeria",2016,Prof. Adeleke,Epidemiology
Retrospective Review of Spatial Analysis of Malaria Incidence Using Geographic Information Systems in Osun State Among Residents of Ife South Local Government,"spatial analysis, GIS, malaria incidence, Osun State, geographic",2022,Dr. Abiodun,Biostatistics
A Cross-Sectional Study of Developing a Predictive Scoring Tool for Maternal Complications Using Routine Obstetric Data Nigeria Among Residents of Ilesha Local Government,"predictive scoring, maternal complications, routine data, obstetric, Nigeria",2018,Prof. Nwosu,Biostatistics
A Descriptive Analysis of Assessment of Infection Prevention and Control Practices in UNIOSUN Teaching Hospital Wards Among Residents of Boripe Local Government,"infection prevention, control practices, UNIOSUN, teaching hospital, wards",2018,Dr. Agboola,Infectious Diseases
Longitudinal Investigation of Evaluation of National Health Insurance Scheme Implementation in Osun State Public Hospitals Among Residents of Ilesa Local Government,"health insurance, NHIS, implementation, Osun State, public hospitals",2022,Prof. Fasola,Health Policy
Hospital-Based Assessment of Assessment of Childhood Immunization Against Vaccine-Preventable Diseases in UNIOSUN Catchment Areas Among Residents of Osogbo Local Government,"childhood immunization, vaccine-preventable diseases, UNIOSUN, catchment area",2015,Prof. Adewale,Infectious Diseases
Occupational Hazard Exposure and Health Outcomes Among Automobile Mechanics in Osogbo Nigeria,"occupational hazard, automobile mechanics, health outcomes, exposure, Osogbo",2015,Prof. Eze,Environmental Health
A Cross-Sectional Study of Effectiveness of the Basic Healthcare Provision Fund in Strengthening Primary Health Centers Among Residents of Ilesa Local Government,"basic healthcare fund, PHC, effectiveness, primary health, strengthening",2016,Prof. Adeoti,Health Policy
Child Immunization Coverage and Barriers to Vaccine Uptake in Osun State Local Government Areas,"immunization, coverage, barriers, vaccine uptake, Osun State",2017,Prof. Eze,Maternal & Child Health
Hospital-Based Assessment of Effect of Hospital Autonomy Policy on Service Delivery Quality in Osun State General Hospitals Among Residents of Boripe Local Government,"hospital autonomy, service delivery, quality, policy, Osun State",2021,Prof. Adeleke,Health Policy
Comparative Study of Obstetric Complications and Emergency Referral Patterns at UNIOSUN Teaching Hospital Osogbo Among Residents of Ife North Local Government,"obstetric complications, emergency referral, UNIOSUN, teaching hospital, Osogbo",2017,Prof. Adeoti,Maternal & Child Health
Community-Based Study on Burden of Non-Communicable Diseases Among Residents of Boripe Local Government,"non-communicable diseases, burden, middle-aged, Southwest Nigeria",2021,Dr. Akindele,Epidemiology
A Cross-Sectional Study of Evaluation of National Health Insurance Scheme Implementation in Osun State Public Hospitals Among Residents of Ilesa Local Government,"health insurance, NHIS, implementation, Osun State, public hospitals",2021,Dr. Oluwaseun,Health Policy
Hospital-Based Assessment of Survival Analysis of Time-to-Death Among Residents of Iwo Local Government,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2016,Prof. Emeka,Biostatistics
Retrospective Review of Epidemiology of Road Traffic Injuries and Fatalities in Urban Communities of Southwest Nigeria Among Residents of Osogbo Local Government,"road traffic injuries, fatalities, urban, epidemiology, Southwest",2020,Dr. Salawu,Epidemiology
Community-Based Study on HIV Seroprevalence and Risk Behavior Among Residents of Iwo Local Government,"HIV, seroprevalence, risk behavior, female sex workers, Osogbo",2015,Prof. Afolabi,Infectious Diseases
Comparative Study of Gonorrhoea and Syphilis Co-Infection Prevalence Among Residents of Boripe Local Government,"gonorrhoea, syphilis, co-infection, antenatal clinic, Osogbo",2022,Prof. Okafor,Infectious Diseases
A Descriptive Analysis of Prevalence of Postpartum Depression and Associated Risk Factors Among Residents of Ilesa Local Government,"postpartum depression, prevalence, risk factors, mothers, Osogbo",2019,Prof. Fasola,Maternal & Child Health
Obstetric Complications and Emergency Referral Patterns at UNIOSUN Teaching Hospital Osogbo,"obstetric complications, emergency referral, UNIOSUN, teaching hospital, Osogbo",2018,Prof. Obiora,Maternal & Child Health
A Cross-Sectional Study of Impact of Flooding Events on Waterborne Disease Incidence in Osun State Flood Corridors Among Residents of Iwo Local Government,"flooding, waterborne disease, incidence, Osun State, flood corridors",2021,Prof. Obiora,Environmental Health
Impact of Open Defecation on Child Diarrhoeal Diseases in Rural Communities of Osun State,"open defecation, diarrhoea, children, rural, sanitation",2018,Prof. Fasola,Environmental Health
An Exploratory Analysis of Assessment of Childhood Immunization Against Vaccine-Preventable Diseases in UNIOSUN Catchment Areas Among Residents of Ife South Local Government,"childhood immunization, vaccine-preventable diseases, UNIOSUN, catchment area",2021,Dr. Nwachukwu,Infectious Diseases
Cultural Beliefs and Practices Influencing Maternal Healthcare Decision-Making in Ife South Communities,"cultural beliefs, maternal healthcare, decision-making, Ife South, practices",2022,Dr. Oluwaseun,Maternal & Child Health
An Exploratory Analysis of Evaluation of Food Safety Practices in Open-Air Markets and Restaurants in Osogbo Metropolis Among Residents of Ejigbo Local Government,"food safety, open-air markets, restaurants, evaluation, Osogbo",2022,Dr. Abiodun,Environmental Health
An Exploratory Analysis of Epidemiology of Road Traffic Injuries and Fatalities in Urban Communities of Southwest Nigeria Among Residents of Osogbo Local Government,"road traffic injuries, fatalities, urban, epidemiology, Southwest",2016,Prof. Eze,Epidemiology
Longitudinal Investigation of Child Immunization Coverage and Barriers to Vaccine Uptake in Osun State Local Government Areas Among Residents of Ilesha Local Government,"immunization, coverage, barriers, vaccine uptake, Osun State",2020,Dr. Folarin,Maternal & Child Health
Longitudinal Investigation of Coverage and Equity of Childhood Vaccination Services in Hard-to-Reach Areas of Osun State Among Residents of Ede Local Government,"childhood vaccination, coverage, equity, hard-to-reach, Osun State",2017,Dr. Akinwande,Maternal & Child Health
Retrospective Review of Antibiotic Resistance Patterns of Bacterial Isolates from Urinary Tract Infections in Osun Hospitals Among Residents of Ilesha Local Government,"antibiotic resistance, bacterial isolates, urinary tract infection, Osun, hospitals",2016,Dr. Chukwu,Infectious Diseases
Lead Exposure Assessment and Neurological Effects Among Children Near Battery Recycling Sites,"lead exposure, neurological effects, children, battery recycling, assessment",2018,Dr. Igwe,Environmental Health
Retrospective Review of Lead Exposure Assessment and Neurological Effects Among Residents of Ilesa Local Government,"lead exposure, neurological effects, children, battery recycling, assessment",2020,Dr. Babatunde,Environmental Health
Tobacco Control Policy Awareness and Compliance Among Market Vendors in Osogbo Metropolis,"tobacco control, policy compliance, market vendors, Osogbo, awareness",2018,Prof. Afolabi,Health Policy
A Cross-Sectional Study of Vector Breeding Site Assessment and Malaria Risk in Flood-Prone Areas of Osun State Nigeria Among Residents of Ede Local Government,"vector breeding, malaria risk, flood-prone, Osun State, assessment",2018,Dr. Salawu,Environmental Health
Community-Based Study on Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State Among Residents of Ilesha Local Government,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2022,Prof. Adeoti,Maternal & Child Health
Community-Based Study on Political Determinants of Health Budget Allocation in Osun State Government Annual Estimates Among Residents of Ilesha Local Government,"health budget, political determinants, allocation, Osun State, government",2015,Prof. Ogunleye,Health Policy
A Descriptive Analysis of Anemia in Pregnancy Prevalence and Its Effect on Birth Outcomes in Southwest Nigerian Hospitals Among Residents of Ife South Local Government,"anaemia in pregnancy, birth outcomes, Southwest Nigeria, hospitals, prevalence",2021,Dr. Babatunde,Maternal & Child Health
Comparative Study of Assessment of Infection Prevention and Control Practices in UNIOSUN Teaching Hospital Wards Among Residents of Ilesa Local Government,"infection prevention, control practices, UNIOSUN, teaching hospital, wards",2018,Prof. Fasola,Infectious Diseases
Comparative Study of Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State Among Residents of Ilesa Local Government,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2017,Prof. Onyeka,Maternal & Child Health
Comparative Study of Health Financing Strategies and Their Effect on Out-of-Pocket Expenditure in Osun State Among Residents of Ife South Local Government,"health financing, out-of-pocket, expenditure, Osun State, strategy",2018,Dr. Olayinka,Health Policy
Comparative Study of Socioeconomic Factors and Teenage Pregnancy Prevalence Among Residents of Boripe Local Government,"teenage pregnancy, socioeconomic, secondary school, prevalence, Osun State",2017,Dr. Akinwande,Maternal & Child Health
Community-Based Study on Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020 Among Residents of Ife North Local Government,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2018,Prof. Okafor,Maternal & Child Health
Antibiotic Resistance Patterns of Bacterial Isolates from Urinary Tract Infections in Osun Hospitals,"antibiotic resistance, bacterial isolates, urinary tract infection, Osun, hospitals",2017,Dr. Folarin,Infectious Diseases
Retrospective Review of Obstetric Complications and Emergency Referral Patterns at UNIOSUN Teaching Hospital Osogbo Among Residents of Boripe Local Government,"obstetric complications, emergency referral, UNIOSUN, teaching hospital, Osogbo",2020,Dr. Abiodun,Maternal & Child Health
Community-Based Study on Evaluation of Community Health Workers Policy and Its Impact on Rural Health Outcomes Among Residents of Iwo Local Government,"community health workers, policy evaluation, rural health, outcomes",2022,Prof. Adebayo,Health Policy
Comparative Study of Gender-Responsive Health Policy Analysis and Women Empowerment in Osun State Communities Among Residents of Ilesa Local Government,"gender-responsive, health policy, women empowerment, Osun, analysis",2019,Prof. Bankole,Health Policy
A Descriptive Analysis of Environmental Assessment of Noise Pollution and Hearing Loss Risk Near Industrial Zones in Osogbo Among Residents of Boripe Local Government,"noise pollution, hearing loss, industrial zones, environmental assessment, Osogbo",2020,Prof. Bankole,Environmental Health
Community-Based Study on Systematic Review and Meta-Analysis of Hypertension Prevalence Studies in Southwest Nigeria Among Residents of Iwo Local Government,"systematic review, meta-analysis, hypertension, prevalence, Southwest Nigeria",2019,Prof. Okafor,Biostatistics
Retrospective Review of Community-Based Assessment of Stroke Risk Factors Among Residents of Ife North Local Government,"stroke, risk factors, elderly, community, Ife North",2015,Prof. Adeoti,Epidemiology
Evaluation of National Health Insurance Scheme Implementation in Osun State Public Hospitals,"health insurance, NHIS, implementation, Osun State, public hospitals",2021,Dr. Babatunde,Health Policy
Community-Based Study on Evaluation of Rapid Diagnostic Test Use for Malaria Case Management in Osun Primary Health Centers Among Residents of Ilesha Local Government,"rapid diagnostic test, malaria, case management, primary health, Osun",2020,Dr. Akinwande,Infectious Diseases
A Descriptive Analysis of Pattern of Morbidity and Mortality from Communicable Diseases in Osogbo Metropolis Among Residents of Ife South Local Government,"morbidity, mortality, communicable diseases, Osogbo, pattern",2018,Prof. Emeka,Epidemiology
A Descriptive Analysis of Burden and Distribution of Schistosomiasis Among Residents of Ilesa Local Government,"schistosomiasis, children, distribution, burden, rural",2019,Dr. Agboola,Epidemiology
Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area,"solid waste, management, health implications, Osogbo, urban",2016,Dr. Okonkwo,Environmental Health
Retrospective Review of E-Waste Disposal Practices and Toxic Exposure Among Residents of Osogbo Local Government,"e-waste, disposal, toxic exposure, informal recyclers, Southwest Nigeria",2020,Prof. Onyeka,Environmental Health
A Descriptive Analysis of Household Air Quality Monitoring and Respiratory Outcomes in Low-Income Areas of Osogbo Nigeria Among Residents of Iwo Local Government,"household air quality, respiratory outcomes, low-income, monitoring, Osogbo",2017,Prof. Adebayo,Environmental Health
A Cross-Sectional Study of Sample Size Determination and Power Analysis in Public Health Research Studies at Nigerian Universities Among Residents of Ife North Local Government,"sample size, power analysis, public health research, Nigeria, biostatistics",2019,Prof. Fasola,Biostatistics
A Descriptive Analysis of Factors Influencing Antenatal Care Attendance Among Residents of Ede Local Government,"antenatal care, attendance, pregnant women, rural, Osun",2022,Dr. Akinwande,Maternal & Child Health
A Descriptive Analysis of Prevalence of Postpartum Depression and Associated Risk Factors Among Residents of Ife South Local Government,"postpartum depression, prevalence, risk factors, mothers, Osogbo",2015,Prof. Adewale,Maternal & Child Health
Hospital-Based Assessment of Assessment of Primary Healthcare Governance and Accountability Mechanisms in Southwest Nigeria Among Residents of Iwo Local Government,"primary healthcare, governance, accountability, Southwest Nigeria, policy",2015,Dr. Akinwande,Health Policy
A Descriptive Analysis of Burden of Non-Communicable Diseases Among Residents of Ife East Local Government,"non-communicable diseases, burden, middle-aged, Southwest Nigeria",2015,Prof. Adeoti,Epidemiology
An Exploratory Analysis of Assessment of Kangaroo Mother Care Practice and Neonatal Outcomes in Osun State Hospitals Among Residents of Ilesa Local Government,"kangaroo mother care, neonatal outcomes, practice, Osun State, hospitals",2015,Prof. Afolabi,Maternal & Child Health
Longitudinal Investigation of Indoor Air Pollution from Biomass Fuel Use and Respiratory Health Among Residents of Boripe Local Government,"indoor air pollution, biomass fuel, respiratory health, women, rural",2019,Dr. Chukwu,Environmental Health
Assessment of Childhood Immunization Against Vaccine-Preventable Diseases in UNIOSUN Catchment Areas,"childhood immunization, vaccine-preventable diseases, UNIOSUN, catchment area",2017,Prof. Adeleke,Infectious Diseases
A Cross-Sectional Study of Factors Influencing Insecticide-Treated Net Use Among Residents of Ife South Local Government,"insecticide-treated net, household, malaria prevention, rural, Osun",2019,Prof. Afolabi,Infectious Diseases
An Exploratory Analysis of Chemical Pesticide Use Patterns and Chronic Health Effects Among Residents of Ilesha Local Government,"pesticide, chemical exposure, agricultural workers, chronic health, Osun",2020,Dr. Adeyemi,Environmental Health
Longitudinal Investigation of Cluster Analysis Identification of High-Risk Communities for Malaria in Osun State Using Health Data Among Residents of Ilesha Local Government,"cluster analysis, high-risk communities, malaria, health data, Osun State",2020,Dr. Akinwande,Biostatistics
Hospital-Based Assessment of Sample Size Determination and Power Analysis in Public Health Research Studies at Nigerian Universities Among Residents of Osogbo Local Government,"sample size, power analysis, public health research, Nigeria, biostatistics",2016,Prof. Afolabi,Biostatistics
An Exploratory Analysis of Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area Among Residents of Ejigbo Local Government,"solid waste, management, health implications, Osogbo, urban",2021,Dr. Akinwande,Environmental Health
Hospital-Based Assessment of Assessment of Toilet Facilities Adequacy and Sanitation-Related Diseases in Rural Osun Communities Among Residents of Ife South Local Government,"toilet facilities, sanitation, rural, diseases, assessment",2019,Prof. Onyeka,Environmental Health
Longitudinal Investigation of Prevalence of Overweight and Obesity Among Residents of Ejigbo Local Government,"overweight, obesity, adolescents, secondary school, Osogbo",2019,Prof. Adesanya,Epidemiology
An Exploratory Analysis of Cultural Beliefs and Practices Influencing Maternal Healthcare Decision-Making in Ife South Communities Among Residents of Ilesha Local Government,"cultural beliefs, maternal healthcare, decision-making, Ife South, practices",2016,Prof. Onyeka,Maternal & Child Health
A Cross-Sectional Study of Epidemiological Study of Eye Diseases and Visual Impairment Among Residents of Ilesha Local Government,"eye diseases, visual impairment, adults, rural, Osun",2021,Dr. Agboola,Epidemiology
A Cross-Sectional Study of Factors Influencing Antenatal Care Attendance Among Residents of Ede Local Government,"antenatal care, attendance, pregnant women, rural, Osun",2021,Prof. Adewale,Maternal & Child Health
A Descriptive Analysis of Prevalence of Birth Asphyxia and Contributing Factors in Neonatal Units of Osun State Hospitals Among Residents of Ejigbo Local Government,"birth asphyxia, prevalence, neonatal, contributing factors, Osun State",2015,Prof. Afolabi,Maternal & Child Health
An Exploratory Analysis of Regulatory Framework for Traditional Medicine Practice in Osun State Health Policy Context Among Residents of Ife North Local Government,"traditional medicine, regulation, policy, Osun State, practice",2019,Prof. Eze,Health Policy
Hospital-Based Assessment of Impact of Flooding Events on Waterborne Disease Incidence in Osun State Flood Corridors Among Residents of Ede Local Government,"flooding, waterborne disease, incidence, Osun State, flood corridors",2020,Dr. Akindele,Environmental Health
Community-Based Study on Socioeconomic Factors and Teenage Pregnancy Prevalence Among Residents of Ife East Local Government,"teenage pregnancy, socioeconomic, secondary school, prevalence, Osun State",2021,Prof. Bankole,Maternal & Child Health
Longitudinal Investigation of Effect of Male Partner Involvement on Maternal Health Service Utilization in Osun State Communities Among Residents of Iwo Local Government,"male involvement, maternal health, service utilization, Osun State, partner",2020,Dr. Akindele,Maternal & Child Health
Comparative Study of Effect of Male Partner Involvement on Maternal Health Service Utilization in Osun State Communities Among Residents of Iwo Local Government,"male involvement, maternal health, service utilization, Osun State, partner",2021,Dr. Akinwande,Maternal & Child Health
Community-Based Study on Cultural Beliefs and Practices Influencing Maternal Healthcare Decision-Making in Ife South Communities Among Residents of Ife South Local Government,"cultural beliefs, maternal healthcare, decision-making, Ife South, practices",2017,Dr. Abiodun,Maternal & Child Health
Epidemiological Assessment of Childhood Pneumonia Cases in UNIOSUN Teaching Hospital Outpatients,"pneumonia, childhood, epidemiology, teaching hospital, outpatients",2021,Prof. Afolabi,Epidemiology
Comparative Study of HIV Seroprevalence and Risk Behavior Among Residents of Osogbo Local Government,"HIV, seroprevalence, risk behavior, female sex workers, Osogbo",2020,Prof. Eze,Infectious Diseases
Retrospective Review of Factor Analysis of Health System Barriers to Maternal Healthcare Utilization in Rural Osun State Among Residents of Boripe Local Government,"factor analysis, health system barriers, maternal healthcare, rural, Osun",2016,Prof. Fasola,Biostatistics
A Descriptive Analysis of Application of Machine Learning Algorithms in Predicting Hypertension Onset in Nigerian Adults Among Residents of Ilesa Local Government,"machine learning, hypertension prediction, Nigerian adults, algorithms, biostatistics",2017,Dr. Chukwu,Biostatistics
Gender-Responsive Health Policy Analysis and Women Empowerment in Osun State Communities,"gender-responsive, health policy, women empowerment, Osun, analysis",2015,Dr. Agboola,Health Policy
A Cross-Sectional Study of Epidemiological Assessment of Childhood Pneumonia Cases in UNIOSUN Teaching Hospital Outpatients Among Residents of Osogbo Local Government,"pneumonia, childhood, epidemiology, teaching hospital, outpatients",2017,Prof. Adeleke,Epidemiology
Hospital-Based Assessment of Determinants of Skilled Birth Attendance Utilization Among Residents of Ife East Local Government,"skilled birth attendance, determinants, parturient women, Osun State",2021,Dr. Abiodun,Maternal & Child Health
A Descriptive Analysis of Evaluation of Community Health Workers Policy and Its Impact on Rural Health Outcomes Among Residents of Iwo Local Government,"community health workers, policy evaluation, rural health, outcomes",2022,Dr. Salawu,Health Policy
Hospital-Based Assessment of Assessment of Exclusive Breastfeeding Practices and Infant Nutritional Outcomes in Osun State Among Residents of Ilesha Local Government,"exclusive breastfeeding, infant nutrition, practices, Osun State, outcomes",2016,Prof. Fasola,Maternal & Child Health
A Cross-Sectional Study of Evaluation of National Health Insurance Scheme Implementation in Osun State Public Hospitals Among Residents of Ejigbo Local Government,"health insurance, NHIS, implementation, Osun State, public hospitals",2022,Dr. Igwe,Health Policy
Community-Based Study on Policy Implementation Fidelity of the Integrated Disease Surveillance Response System in Nigeria Among Residents of Ede Local Government,"IDSR, policy implementation, disease surveillance, fidelity, Nigeria",2017,Prof. Ogunleye,Health Policy
A Descriptive Analysis of Malaria Parasite Density and Treatment Outcomes Among Residents of Osogbo Local Government,"malaria, parasite density, treatment outcomes, children, UNIOSUN",2016,Prof. Adeleke,Infectious Diseases
Retrospective Review of Application of Poisson Regression in Modelling Infectious Disease Count Data in Nigeria Among Residents of Ife North Local Government,"Poisson regression, infectious disease, count data, modelling, Nigeria",2016,Dr. Folarin,Biostatistics
A Descriptive Analysis of Prevalence and Risk Factors of Hypertension Among Residents of Boripe Local Government,"hypertension, prevalence, risk factors, adults, Osun State",2017,Prof. Ogunleye,Epidemiology
Intersectoral Collaboration for Social Determinants of Health Policy in Southwest Nigeria,"intersectoral collaboration, social determinants, health policy, Southwest Nigeria",2016,Dr. Nwachukwu,Health Policy
Hospital-Based Assessment of Assessment of Health Sector Decentralization Policy Outcomes in Southwest Nigerian Local Governments Among Residents of Ife East Local Government,"decentralization, health sector, local government, policy outcomes, Nigeria",2022,Dr. Nnamdi,Health Policy
Coverage and Equity of Childhood Vaccination Services in Hard-to-Reach Areas of Osun State,"childhood vaccination, coverage, equity, hard-to-reach, Osun State",2016,Prof. Adewale,Maternal & Child Health
An Exploratory Analysis of Climate Change Perceptions and Health Adaptation Strategies Among Residents of Ejigbo Local Government,"climate change, health adaptation, farmers, perceptions, Osun State",2015,Dr. Salawu,Environmental Health
Hospital-Based Assessment of Impact of Open Defecation on Child Diarrhoeal Diseases in Rural Communities of Osun State Among Residents of Ife North Local Government,"open defecation, diarrhoea, children, rural, sanitation",2019,Prof. Adesanya,Environmental Health
A Cross-Sectional Study of Environmental Assessment of Noise Pollution and Hearing Loss Risk Near Industrial Zones in Osogbo Among Residents of Ife South Local Government,"noise pollution, hearing loss, industrial zones, environmental assessment, Osogbo",2018,Prof. Emeka,Environmental Health
Comparative Study of E-Waste Disposal Practices and Toxic Exposure Among Residents of Ilesha Local Government,"e-waste, disposal, toxic exposure, informal recyclers, Southwest Nigeria",2021,Prof. Onyeka,Environmental Health
Comparative Study of Tuberculosis Treatment Default Rate and Associated Factors in DOTS Centres Osun State Nigeria Among Residents of Iwo Local Government,"tuberculosis, treatment default, DOTS, Osun State, associated factors",2016,Prof. Adewale,Infectious Diseases
Community-Based Study on Assessment of Infection Prevention and Control Practices in UNIOSUN Teaching Hospital Wards Among Residents of Ilesa Local Government,"infection prevention, control practices, UNIOSUN, teaching hospital, wards",2019,Dr. Agboola,Infectious Diseases
A Cross-Sectional Study of Evaluation of Food Safety Practices in Open-Air Markets and Restaurants in Osogbo Metropolis Among Residents of Ilesha Local Government,"food safety, open-air markets, restaurants, evaluation, Osogbo",2020,Dr. Olayinka,Environmental Health
Hospital-Based Assessment of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ife South Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2021,Dr. Chukwu,Biostatistics
A Cross-Sectional Study of Prevalence of Hepatitis C Virus Antibodies Among Residents of Iwo Local Government,"hepatitis C, prevalence, antibodies, surgical wards, Osogbo",2016,Prof. Afolabi,Infectious Diseases
An Exploratory Analysis of Mercury Exposure and Health Risk Assessment Among Residents of Ife East Local Government,"mercury exposure, gold mining, health risk, artisanal, Osun State",2017,Dr. Akinwande,Environmental Health
Retrospective Review of Occupational Hazard Exposure and Health Outcomes Among Residents of Ilesha Local Government,"occupational hazard, automobile mechanics, health outcomes, exposure, Osogbo",2019,Prof. Ogunleye,Environmental Health
Community-Based Study on Lead Exposure Assessment and Neurological Effects Among Residents of Osogbo Local Government,"lead exposure, neurological effects, children, battery recycling, assessment",2020,Dr. Chukwu,Environmental Health
Community-Based Study on Stakeholder Perceptions of Universal Health Coverage Implementation in Osun State Nigeria Among Residents of Iwo Local Government,"universal health coverage, stakeholders, perceptions, implementation, Nigeria",2018,Prof. Obiora,Health Policy
A Descriptive Analysis of Receiver Operating Characteristic Curve Analysis for Predicting Severe Malaria in Children Nigeria Among Residents of Ife North Local Government,"ROC curve, severe malaria, prediction, children, Nigeria",2018,Prof. Okafor,Biostatistics
An Exploratory Analysis of Assessment of Meningitis Outbreak Response and Control Measures in Northern Osun Communities Among Residents of Ife East Local Government,"meningitis, outbreak, response, control, Osun",2021,Dr. Okonkwo,Epidemiology
A Cross-Sectional Study of Antibiotic Resistance Patterns of Bacterial Isolates from Urinary Tract Infections in Osun Hospitals Among Residents of Ejigbo Local Government,"antibiotic resistance, bacterial isolates, urinary tract infection, Osun, hospitals",2020,Prof. Adeoti,Infectious Diseases
Hospital-Based Assessment of Policy Implementation Fidelity of the Integrated Disease Surveillance Response System in Nigeria Among Residents of Ilesa Local Government,"IDSR, policy implementation, disease surveillance, fidelity, Nigeria",2017,Prof. Eze,Health Policy
Epidemiology of Salmonella Infections and Outbreak Investigation in Osun State Communities,"Salmonella, infections, outbreak investigation, Osun State, epidemiology",2016,Prof. Onyeka,Infectious Diseases
Analysis of Task-Shifting Policy for Health Workers in Low-Resource Settings of Southwest Nigeria,"task-shifting, health workers, low-resource, policy, Southwest Nigeria",2022,Dr. Oluwaseun,Health Policy
Longitudinal Investigation of Multidrug-Resistant Tuberculosis Prevalence and Treatment Outcomes in Southwest Nigeria Hospitals Among Residents of Osogbo Local Government,"multidrug-resistant tuberculosis, MDR-TB, prevalence, treatment, Southwest Nigeria",2019,Dr. Adeyemi,Infectious Diseases
An Exploratory Analysis of Political Determinants of Health Budget Allocation in Osun State Government Annual Estimates Among Residents of Boripe Local Government,"health budget, political determinants, allocation, Osun State, government",2018,Dr. Folarin,Health Policy
Community-Based Study on Effectiveness of the Basic Healthcare Provision Fund in Strengthening Primary Health Centers Among Residents of Ife East Local Government,"basic healthcare fund, PHC, effectiveness, primary health, strengthening",2021,Prof. Fasola,Health Policy
Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2018,Prof. Afolabi,Maternal & Child Health
